AR;Cidade;Código do Hawb;Data de Postagem;Data de Recebimento;Dias em transferência;Data Pre-Entrega(Lista);data SLA;Data Tentativa 1;Data do Último Status;Franquia Atual;Franquia de Destino;Franquia de Origem;Motivo de Devolução;Produto;Tipo de Baixa;Transfer;Transfer Esporádico;UF;Último Status
1331901420083-01;Campinas;5360014392;19/05/2023 00:01;20/05/2023 03:13;1;22/05/2023 14:54;26/05/2023 23:59;20/05/2023 21:32;23/05/2023 09:44;CAP;CAP;SEI;;Standard;EWX;1699546;;SP;Ciclo Operacional Encerrado
1331891420028-01;São Caetano do Sul;5360014449;19/05/2023 00:01;20/05/2023 07:46;1;20/05/2023 17:31;26/05/2023 23:59;22/05/2023 08:43;22/05/2023 09:35;KGG;KGG;SEI;;Standard;EWX;1700134;;SP;Ciclo Operacional Encerrado
1331871419962-01;Juiz de Fora;5360014450;19/05/2023 00:01;19/05/2023 07:13;1;;26/05/2023 23:59;;19/05/2023 07:15;ILG;JDF;SEI;;Standard;;1701379;;MG;Preparada para a transferencia
1331871419949-01;Juiz de Fora;5360014461;19/05/2023 00:01;19/05/2023 07:13;1;;26/05/2023 23:59;;19/05/2023 07:15;ILG;JDF;SEI;;Standard;;1701379;;MG;Preparada para a transferencia
1331871419947-01;Praia Grande;5360014472;19/05/2023 00:01;21/05/2023 09:23;1;;26/05/2023 23:59;22/05/2023 11:58;23/05/2023 08:36;PGD;PGD;SEI;;Standard;;1700065;;SP;Entrega em andamento (na rua)
1331871419945-01;São Luís;5360014483;19/05/2023 00:01;19/05/2023 10:25;1;;26/05/2023 23:59;;19/05/2023 10:27;ILG;SIS;SEI;;Standard;;1698193;1700877;MA;Preparada para a transferencia
1331871419931-01;Itabaiana;5360014494;19/05/2023 00:01;19/05/2023 14:15;1;;26/05/2023 23:59;;19/05/2023 14:15;ILG;INX;SEI;;Standard;;1700874;;SE;Preparada para a transferencia
1331811419733-01;Cuiabá;5360014632;19/05/2023 00:01;19/05/2023 10:58;1;;26/05/2023 23:59;;19/05/2023 11:00;ILG;CGB;SEI;;Standard;;1698193;;MT;Preparada para a transferencia
1331801419719-01;Itajaí;5360337509;19/05/2023 00:01;20/05/2023 11:36;1;;26/05/2023 23:59;;23/05/2023 09:35;JIT;JIT;SEI;;Standard;;1699363;;SC;Entrega em andamento (na rua)
1331611419227-01;Gurupi;5360337543;19/05/2023 00:01;19/05/2023 09:54;1;;26/05/2023 23:59;;19/05/2023 09:57;ILG;GUR;SEI;;Standard;;1701101;;TO;Preparada para a transferencia
1332571421506-01;Mossoró;5368726317;19/05/2023 17:30;20/05/2023 15:15;1;;26/05/2023 23:59;;20/05/2023 15:18;ILG;MSR;SEI;;Standard;;1699798;;RN;Preparada para a transferencia
1332531421381-01;Goiânia;5368726384;19/05/2023 17:29;20/05/2023 08:13;1;;29/05/2023 23:59;;20/05/2023 08:15;ILG;FSL;SEI;;Standard;;1699798;1700587;GO;Preparada para a transferencia
1332651421752-01;Goiânia;5368726726;19/05/2023 17:30;20/05/2023 08:18;1;;29/05/2023 23:59;;20/05/2023 08:21;ILG;VSA;SEI;;Standard;;1699798;1700577;GO;Preparada para a transferencia
1,3324E+14;ALFENAS;5370064059;18/05/2023 00:01;18/05/2023 17:26;1;;25/05/2023 23:59;;18/05/2023 17:27;ILG;AFS;SEI;;Standard;;1701246;;MG;Preparada para a transferencia
1,33232E+15;MARIANA;5370064719;18/05/2023 00:01;18/05/2023 18:57;1;;25/05/2023 23:59;;18/05/2023 19:00;ILG;OPR;SEI;;Standard;;1701468;;MG;Preparada para a transferencia
1332881422210-01;Ponta Grossa;5372592825;19/05/2023 00:01;19/05/2023 08:45;1;;26/05/2023 23:59;;19/05/2023 09:21;ILG;PGR;SEI;;Standard;;1701484;;PR;Preparada para a transferencia
1332881422202-01;Goiânia;5372592847;19/05/2023 00:01;20/05/2023 15:08;1;22/05/2023 10:22;29/05/2023 23:59;22/05/2023 17:42;22/05/2023 17:42;FSL;FSL;SEI;;Standard;EWX;1699294;;GO;Entrega registrada
1332841422091-01;Juiz de Fora;5372592858;19/05/2023 00:01;19/05/2023 07:13;1;;26/05/2023 23:59;;19/05/2023 07:15;ILG;JDF;SEI;;Standard;;1701379;;MG;Preparada para a transferencia
1332861422157-01;Mineiros;5372592892;19/05/2023 17:32;20/05/2023 12:13;1;;26/05/2023 23:59;;20/05/2023 13:46;ILG;MIN;SEI;;Standard;;1701141;;GO;Preparada para a transferencia
1332891422259-01;São Paulo;5372592983;19/05/2023 00:01;20/05/2023 07:50;1;20/05/2023 11:32;26/05/2023 23:59;20/05/2023 13:43;22/05/2023 10:37;MIL;MIL;SEI;;Standard;EWX;1700136;;SP;Ciclo Operacional Encerrado
1332631421686-01;Três Barras;5372593124;19/05/2023 17:32;20/05/2023 12:13;1;;26/05/2023 23:59;;20/05/2023 13:46;ILG;TCA;SEI;;Standard;;1701614;;SC;Preparada para a transferencia
1332851422124-01;São Luís;5372593157;19/05/2023 17:30;20/05/2023 08:19;1;;26/05/2023 23:59;;20/05/2023 08:21;ILG;SLD;SEI;;Standard;;1699798;;MA;Preparada para a transferencia
1332851422122-01;Sorriso;5372593180;19/05/2023 17:32;20/05/2023 12:13;1;;26/05/2023 23:59;;20/05/2023 13:57;ILG;SRS;SEI;;Standard;;1701244;;MT;Preparada para a transferencia
1332801421988-01;Salvador;5372593215;19/05/2023 17:31;20/05/2023 07:32;1;;26/05/2023 23:59;;20/05/2023 07:33;ILG;SSA;SEI;;Standard;;1701703;;BA;Preparada para a transferencia
1332801421981-01;Salvador;5372593226;19/05/2023 17:31;20/05/2023 08:35;1;;26/05/2023 23:59;;20/05/2023 08:36;ILG;SSA;SEI;;Standard;;1701703;;BA;Preparada para a transferencia
1332781421913-01;Camamu;5372593237;19/05/2023 00:01;19/05/2023 14:26;1;;26/05/2023 23:59;;19/05/2023 15:02;ILG;AMU;SEI;;Standard;;1701703;;BA;Preparada para a transferencia
1332791421934-01;São Paulo;5372594605;19/05/2023 00:01;20/05/2023 08:25;1;22/05/2023 13:25;26/05/2023 23:59;22/05/2023 13:25;22/05/2023 13:25;MAR;MAR;SEI;;Standard;;1700106;;SP;Entrega registrada
1332781421891-01;São Paulo;5372594616;19/05/2023 00:01;20/05/2023 08:25;1;22/05/2023 17:42;26/05/2023 23:59;23/05/2023 09:52;23/05/2023 09:52;SPO;SPO;SEI;;Standard;EWX;1700144;;SP;Entrega registrada
1332411421253-01;Manaus;5376106461;19/05/2023 13:27;20/05/2023 08:50;1;;26/05/2023 23:59;;20/05/2023 08:51;ILG;FOG;SEI;;Standard;;1700831;;AM;Preparada para a transferencia
1332391421194-01;Cuiabá;5376106472;19/05/2023 13:25;20/05/2023 08:06;1;;26/05/2023 23:59;;20/05/2023 08:09;ILG;VGR;SEI;;Standard;;1700829;;MT;Preparada para a transferencia
1332341421044-01;Cuiabá;5376106494;19/05/2023 13:26;20/05/2023 08:06;1;;26/05/2023 23:59;;20/05/2023 08:09;ILG;VGR;SEI;;Standard;;1700829;;MT;Preparada para a transferencia
1332311420919-01;Palmas;5376106529;19/05/2023 13:26;20/05/2023 15:16;1;;26/05/2023 23:59;;20/05/2023 15:18;ILG;PMA;SEI;;Standard;;1699798;;TO;Preparada para a transferencia
1,33237E+14;BRASÍLIA;5377596112;22/05/2023 00:01;22/05/2023 18:44;1;;29/05/2023 23:59;;23/05/2023 10:26;VGO;VGO;SEI;;Standard;;1699798;1700446;DF;Entrega em andamento (na rua)
1318401405193-01;Marituba;5185474894;22/03/2023 12:24;;;;;;29/03/2023 01:48;SAO;DDX;SEI;;Flash - Correio;ECT;;;PA;Entregue pelo Terceiro
1318661405356-01;Araguaína;5185474996;22/03/2023 12:24;;;;;;29/03/2023 00:01;SAO;DDX;SEI;;Flash - Correio;ECT;;;TO;Entregue pelo Terceiro
1318821405467-01;SÃO PEDRO DA ALDEIA;5208622876;27/03/2023 17:46;;;28/03/2023 11:30;03/04/2023 23:59;29/03/2023 08:45;30/03/2023 01:36;IGB;IGB;IGB;;Standard;EWX;1647654;;RJ;Em procedimento de retorno
1322291408376-01;Foz do Iguaçu;5234580478;05/04/2023 00:01;;;;;;11/04/2023 01:01;SAO;DDX;SEI;;Flash - Correio;ECT;;;PR;Entregue pelo Terceiro
1320841407074-01;BRASÍLIA;5239566627;05/04/2023 15:50;;;06/04/2023 09:37;13/04/2023 23:59;06/04/2023 18:55;14/04/2023 15:33;SBD;SBD;SBD;;Standard;EWX;1660482;;DF;Em procedimento de retorno
1323481409871-01;BRASÍLIA;5276540494;18/04/2023 10:55;;;18/04/2023 12:37;26/04/2023 23:59;18/04/2023 19:45;19/04/2023 10:54;BRL;BRL;BRL;;Standard;EWX;1670608;;DF;Em procedimento de retorno
1323411409687-01;Paço do Lumiar;5285917494;20/04/2023 16:42;;;25/04/2023 11:00;28/04/2023 23:59;25/04/2023 18:40;27/04/2023 16:53;SLD;SLD;SLD;;Standard;EWX;;;MA;Em procedimento de retorno
1323241409505-01;CACHOEIRO DE ITAPEMIRIM;5292446828;24/04/2023 10:46;;;25/04/2023 16:00;02/05/2023 23:59;24/04/2023 14:10;28/04/2023 10:27;CDI;CDI;CDI;;Standard;EWX;;;ES;Em procedimento de retorno
