AR;Cidade;Código do Hawb;Data de Postagem;Data de Recebimento;Dias em transferência;Data Pre-Entrega(Lista);data SLA;Data Tentativa 1;Data do Último Status;Franquia Atual;Franquia de Destino;Franquia de Origem;Motivo de Devolução;Produto;Tipo de Baixa;Transfer;Transfer Esporádico;UF;Último Status
1328341414203-01;Vitória da Conquista;5316345371;03/05/2023 16:58;20/05/2023 11:58;13;;10/05/2023 23:59;19/05/2023 09:27;22/05/2023 16:36;VIC;VIC;SEI;A Pedido do Cliente;Standard;;1687173;;BA;Entrega NAO efetuada
1321131407383-01;Maceio;5223529183;31/03/2023 17:44;15/04/2023 15:39;11;17/04/2023 16:36;10/04/2023 23:59;17/04/2023 18:30;18/04/2023 10:18;DJR;DJR;SEI;;Standard;EWX;1667214;;AL;Em procedimento de retorno
1322801409034-01;Paulo Afonso;5243008272;06/04/2023 16:30;20/04/2023 10:11;11;20/04/2023 18:31;14/04/2023 23:59;20/04/2023 21:03;29/04/2023 12:00;PAF;PAF;SEI;;Standard;EWX;1681760;;BA;Em procedimento de retorno
1328271414103-01;Macapá;5316345417;03/05/2023 16:51;17/05/2023 15:13;11;18/05/2023 11:41;10/05/2023 23:59;18/05/2023 18:41;19/05/2023 17:18;MCP;MCP;SEI;;Standard;EWX;1679225;1683076;AP;Em procedimento de retorno
1328251414076-01;Manaus;5316345428;04/05/2023 15:42;18/05/2023 13:34;11;19/05/2023 13:58;11/05/2023 23:59;19/05/2023 21:56;20/05/2023 21:41;MNA;MNA;SEI;;Standard;EWX;1680885;1685895;AM;Em procedimento de retorno
1329211414871-01;Gandu;5322573223;03/05/2023 16:52;17/05/2023 00:07;11;17/05/2023 15:05;10/05/2023 23:59;19/05/2023 00:21;22/05/2023 08:19;TEO;TEO;SEI;;Standard;EWX;1688939;1681189;BA;Ciclo Operacional Encerrado
1324421410833-01;São Luís;5262449304;13/04/2023 17:54;26/04/2023 15:19;10;27/04/2023 14:34;20/04/2023 23:59;27/04/2023 17:56;28/04/2023 15:19;SIS;SIS;SEI;;Standard;EWX;1660122;;MA;Em procedimento de retorno
1330411415988-01;Lauro de Freitas;5337144878;09/05/2023 15:49;22/05/2023 08:51;10;22/05/2023 10:47;16/05/2023 23:59;;22/05/2023 10:51;SLF;SLF;SEI;;Standard;EWX;1686368;1692126;BA;Entrega registrada via RT
1321851407900-01;Eunápolis;5229896718;03/04/2023 16:31;13/04/2023 17:52;9;16/04/2023 14:18;11/04/2023 23:59;17/04/2023 20:16;30/04/2023 16:21;EUN;EUN;SEI;;Standard;EWX;1649770;;BA;Em procedimento de retorno
1325091411364-01;Porto Seguro;5272155660;17/04/2023 15:55;27/04/2023 19:15;9;28/04/2023 10:14;25/04/2023 23:59;28/04/2023 19:22;30/04/2023 15:13;PSG;PSG;SEI;;Standard;EWX;1667297;;BA;Em procedimento de retorno
1328071413844-01;Santana;5310169080;02/05/2023 00:01;13/05/2023 09:11;9;15/05/2023 12:11;09/05/2023 23:59;15/05/2023 19:35;18/05/2023 14:58;STN;STN;SEI;;Standard;EWX;1677401;1684811;AP;Em procedimento de retorno
1328711414504-01;Alfenas;5316345133;03/05/2023 16:50;15/05/2023 17:59;9;16/05/2023 09:57;10/05/2023 23:59;16/05/2023 17:29;18/05/2023 21:56;AFS;AFS;SEI;;Standard;EWX;1688752;;MG;Em procedimento de retorno
1329641415294-01;Jequié;5330687183;05/05/2023 17:34;17/05/2023 08:06;9;17/05/2023 10:52;12/05/2023 23:59;17/05/2023 17:51;20/05/2023 10:31;SSJ;SSJ;SEI;;Standard;EWX;1701367;1686342;BA;Em procedimento de retorno
1330441416012-01;Vitória;5337144823;09/05/2023 15:53;20/05/2023 12:34;9;23/05/2023 00:00;16/05/2023 23:59;22/05/2023 20:31;23/05/2023 07:38;PSE;PSE;SEI;Atraso no Roteiro (Programado nova tentativa);Standard;EWX;1686368;1691370;ES;Comprovante registrado
1322041408086-01;Vassouras;5229896785;03/04/2023 16:37;12/04/2023 17:36;8;14/04/2023 12:59;11/04/2023 23:59;13/04/2023 16:05;14/04/2023 19:17;BPI;BPI;SEI;;Standard;EWX;1658727;;RJ;Em procedimento de retorno
1327801413531-01;Manaus;5306462903;27/04/2023 17:28;08/05/2023 16:39;8;09/05/2023 16:01;05/05/2023 23:59;09/05/2023 18:02;10/05/2023 10:47;FOG;FOG;SEI;;Standard;EWX;1687672;1675008;AM;Em procedimento de retorno
1328571414422-01;Ilhéus;5316345291;04/05/2023 15:41;15/05/2023 06:32;8;17/05/2023 10:28;11/05/2023 23:59;15/05/2023 18:18;22/05/2023 10:35;YIL;YIL;SEI;;Standard;EWX;1687396;1682978;BA;Ciclo Operacional Encerrado
1329201414859-01;Teixeira de Freitas;5322573234;03/05/2023 16:52;12/05/2023 14:24;8;15/05/2023 08:45;10/05/2023 23:59;15/05/2023 20:16;21/05/2023 23:37;TDF;TDF;SEI;;Standard;EWX;1685712;1682160;BA;Ciclo Operacional Encerrado
1328541414378-01;Campo Grande;5326908519;05/05/2023 17:34;16/05/2023 18:44;8;17/05/2023 12:38;12/05/2023 23:59;17/05/2023 17:35;22/05/2023 10:45;CGR;CGR;SEI;;Standard;EWX;1684128;;MS;Ciclo Operacional Encerrado
1329391415035-01;Itabuna;5330687207;08/05/2023 15:51;17/05/2023 11:33;8;19/05/2023 16:27;15/05/2023 23:59;18/05/2023 21:12;19/05/2023 23:23;YIL;YIL;SEI;;Standard;EWX;1692704;1686342;BA;Comprovante registrado
1329871415537-01;São Luís;5331349935;10/05/2023 16:19;20/05/2023 12:09;8;;17/05/2023 23:59;;23/05/2023 10:52;SLD;SLD;SEI;;Standard;;1687963;1692096;MA;Entrega em andamento (na rua)
1329761415479-01;São Luís;5331349979;10/05/2023 16:21;21/05/2023 17:46;8;;17/05/2023 23:59;;23/05/2023 11:06;SLD;SLD;SEI;;Standard;;1693776;;MA;Entrega em andamento (na rua)
1328541414386-01;Castelo;5331486835;10/05/2023 16:21;19/05/2023 14:01;8;;17/05/2023 23:59;22/05/2023 16:44;22/05/2023 16:45;CDI;CDI;SEI;Rua Nao existe;Standard;CWX;1697903;1692052;ES;Aguardando telemarketing
1329921415591-01;Salvador;5337145031;08/05/2023 15:43;17/05/2023 08:28;8;19/05/2023 13:07;15/05/2023 23:59;19/05/2023 13:44;19/05/2023 19:23;SDR;SDR;SEI;;Standard;EWX;1701709;1686342;BA;Em procedimento de retorno
1330141415830-01;Simões Filho;5337419967;08/05/2023 15:46;17/05/2023 07:59;8;17/05/2023 13:15;15/05/2023 23:59;18/05/2023 08:14;18/05/2023 16:31;SFC;SFC;SEI;;Standard;EWX;1694374;1686342;BA;Em procedimento de retorno
1318871405514-01;São Luís;5189581785;22/03/2023 15:41;30/03/2023 16:01;7;03/04/2023 12:56;29/03/2023 23:59;04/04/2023 08:08;15/04/2023 11:59;SLD;SLD;SEI;;Standard;EWX;1672766;;MA;Em procedimento de retorno
1319131405712-01;São Luís;5193866460;22/03/2023 15:42;30/03/2023 16:01;7;31/03/2023 11:57;29/03/2023 23:59;31/03/2023 20:01;15/04/2023 11:50;SLD;SLD;SEI;;Standard;EWX;1672766;;MA;Em procedimento de retorno
1319111405670-01;São Luís;5193866506;22/03/2023 15:42;30/03/2023 16:01;7;31/03/2023 09:48;29/03/2023 23:59;31/03/2023 17:38;15/04/2023 11:50;SLD;SLD;SEI;;Standard;EWX;1672766;;MA;Em procedimento de retorno
1320371406704-01;Jequié;5207474945;28/03/2023 17:42;05/04/2023 08:01;7;05/04/2023 16:25;04/04/2023 23:59;05/04/2023 17:38;10/04/2023 13:21;SSJ;SSJ;SEI;;Standard;EWX;1661999;;BA;Em procedimento de retorno
1321981407992-01;Manaus;5229896672;03/04/2023 16:31;11/04/2023 17:15;7;12/04/2023 10:39;11/04/2023 23:59;12/04/2023 18:46;13/04/2023 11:51;FOG;FOG;SEI;;Standard;EWX;1656706;;AM;Em procedimento de retorno
1321591407734-01;Manaus;5230129217;03/04/2023 16:36;11/04/2023 17:15;7;12/04/2023 15:23;11/04/2023 23:59;12/04/2023 19:20;13/04/2023 11:52;FOG;FOG;SEI;;Standard;EWX;1656706;;AM;Em procedimento de retorno
1322751408966-01;Maceió;5243008307;06/04/2023 16:30;15/04/2023 16:08;7;18/04/2023 10:38;14/04/2023 23:59;17/04/2023 18:30;19/04/2023 14:04;DJR;DJR;SEI;;Standard;EWX;1667214;;AL;Em procedimento de retorno
1324371410765-01;Maceió;5262449326;13/04/2023 17:54;22/04/2023 13:39;7;24/04/2023 15:47;20/04/2023 23:59;24/04/2023 18:53;25/04/2023 15:38;LMC;LMC;SEI;;Standard;EWX;1681722;;AL;Em procedimento de retorno
1324681411055-01;Sorriso;5272413038;17/04/2023 15:56;25/04/2023 12:11;7;;25/04/2023 23:59;;03/05/2023 01:59;SAO;DDX;SEI;;Flash - Correio;ECT;1668535;;MT;Entregue pelo Terceiro
1326801412953-01;Manaus;5293131604;24/04/2023 17:59;02/05/2023 14:45;7;03/05/2023 08:45;02/05/2023 23:59;03/05/2023 19:18;04/05/2023 16:02;FOG;FOG;SEI;;Standard;EWX;1682169;;AM;Em procedimento de retorno
1326381412659-01;Macapá;5293131740;24/04/2023 18:00;02/05/2023 19:02;7;03/05/2023 10:54;02/05/2023 23:59;03/05/2023 20:42;08/05/2023 16:09;MCP;MCP;SEI;;Standard;EWX;1697823;;AP;Em procedimento de retorno
1327801413525-01;Mossoró;5306463622;27/04/2023 17:29;05/05/2023 14:20;7;05/05/2023 17:54;05/05/2023 23:59;05/05/2023 18:32;15/05/2023 20:25;MSR;MSR;SEI;;Standard;EWX;1678610;;RN;Em procedimento de retorno
1328331414192-01;São Luís;5316345382;04/05/2023 15:40;12/05/2023 17:22;7;15/05/2023 15:47;11/05/2023 23:59;15/05/2023 17:45;19/05/2023 16:02;SLD;SLD;SEI;;Standard;EWX;1683938;;MA;Em procedimento de retorno
1328321414168-01;Parauapebas;5316345393;04/05/2023 15:42;12/05/2023 17:15;7;13/05/2023 09:40;11/05/2023 23:59;13/05/2023 09:58;19/05/2023 08:20;PUB;PUB;SEI;;Standard;EWX;1701621;;PA;Em procedimento de retorno
1328211413924-01;Brasilia;5316345473;02/05/2023 13:34;10/05/2023 08:08;7;11/05/2023 17:36;09/05/2023 23:59;12/05/2023 10:37;16/05/2023 15:57;SOL;VGO;SEI;;Standard;EWX;1678599;;DF;Em procedimento de retorno
1331011416900-01;Manaus;5346397481;11/05/2023 17:14;19/05/2023 18:09;7;20/05/2023 14:32;18/05/2023 23:59;20/05/2023 18:38;20/05/2023 21:41;MNA;MNA;SEI;;Standard;EWX;1689542;1691295;AM;Em procedimento de retorno
1330911416474-01;São José;5346559425;15/05/2023 17:19;23/05/2023 07:49;7;;22/05/2023 23:59;;23/05/2023 07:49;FRP;FRP;SEI;;Standard;;1701679;;SC;OBJETO Recebido
1330991416738-01;Vitória;5346559889;11/05/2023 17:03;20/05/2023 18:26;7;22/05/2023 11:25;18/05/2023 23:59;22/05/2023 17:47;22/05/2023 17:47;VTA;VTA;SEI;;Standard;EWX;1689542;1691337;ES;Entrega registrada
1331141417657-01;Cuiabá;5350228313;12/05/2023 17:49;22/05/2023 15:00;7;;19/05/2023 23:59;;23/05/2023 07:37;VGR;VGR;SEI;;Standard;;1694963;;MT;Entrega em andamento (na rua)
1331111417435-01;Cuiabá;5350228448;12/05/2023 17:48;22/05/2023 15:00;7;;19/05/2023 23:59;;23/05/2023 07:37;VGR;VGR;SEI;;Standard;;1694963;;MT;Entrega em andamento (na rua)
1331361418546-01;Praia Grande;5353677216;15/05/2023 17:07;23/05/2023 06:09;7;;22/05/2023 23:59;23/05/2023 10:44;23/05/2023 10:54;SVT;SVT;SEI;Rua Nao existe;Standard;CWX;1702597;;SP;Aguardando telemarketing
1331331418388-01;Feira de Santana;5353677294;15/05/2023 17:00;23/05/2023 08:13;7;;22/05/2023 23:59;;23/05/2023 09:34;FEC;FEC;SEI;;Standard;;1701701;1695118;BA;Entrega em andamento (na rua)
1318371405155-01;Água Doce do Norte;5185474952;20/03/2023 16:47;27/03/2023 10:10;6;27/03/2023 14:55;27/03/2023 23:59;28/03/2023 11:36;31/03/2023 21:21;BSF;BSF;SEI;;Standard;EWX;1662324;1670664;ES;Em procedimento de retorno
1319331405888-01;Fraiburgo;5197878215;24/03/2023 15:53;31/03/2023 16:52;6;03/04/2023 15:08;31/03/2023 23:59;03/04/2023 22:39;05/04/2023 00:21;CAD;CAD;SEI;;Standard;EWX;1659365;;SC;Em procedimento de retorno
1319391406023-01;Macapá;5197878282;23/03/2023 15:51;30/03/2023 13:59;6;31/03/2023 12:43;30/03/2023 23:59;31/03/2023 18:10;01/04/2023 08:45;MCP;MCP;SEI;;Standard;EWX;1647350;;AP;Em procedimento de retorno
1319681406284-01;MANAUS;5201533616;24/03/2023 15:54;01/04/2023 17:40;6;03/04/2023 12:37;31/03/2023 23:59;03/04/2023 20:15;04/04/2023 11:45;FOG;FOG;SEI;;Standard;EWX;1645808;;AM;Em procedimento de retorno
1319581406189-01;Parauapebas;5201533638;24/03/2023 15:53;31/03/2023 16:02;6;01/04/2023 10:22;31/03/2023 23:59;01/04/2023 11:59;08/04/2023 13:36;PUB;PUB;SEI;;Standard;EWX;1651657;;PA;Em procedimento de retorno
1319811406323-01;Marataízes;5207463777;28/03/2023 00:01;04/04/2023 11:22;6;04/04/2023 14:51;04/04/2023 23:59;04/04/2023 21:57;04/04/2023 23:11;MRT;MRT;SEI;;Standard;EWX;1653356;1662280;ES;Em procedimento de retorno
1320101406551-01;Mossoró;5207475006;28/03/2023 00:01;04/04/2023 15:55;6;05/04/2023 09:49;04/04/2023 23:59;05/04/2023 21:06;11/04/2023 10:45;MSR;MSR;SEI;;Standard;EWX;1642580;;RN;Em procedimento de retorno
1320781406974-01;Manaus;5212346349;29/03/2023 15:58;05/04/2023 17:42;6;06/04/2023 10:04;05/04/2023 23:59;06/04/2023 18:51;06/04/2023 20:01;MNA;MNA;SEI;;Standard;EWX;1699386;;AM;Em procedimento de retorno
1322071408127-01;ARACAJU;5229896683;03/04/2023 16:34;10/04/2023 07:00;6;10/04/2023 13:12;11/04/2023 23:59;10/04/2023 17:48;12/04/2023 14:39;MAJ;MAJ;SEI;;Standard;EWX;1653439;;SE;Em procedimento de retorno
1322711408887-01;Salvador;5243008329;06/04/2023 16:29;13/04/2023 07:05;6;13/04/2023 10:44;14/04/2023 23:59;13/04/2023 16:11;14/04/2023 20:57;SUB;SUB;SEI;;Standard;EWX;1653265;;BA;Em procedimento de retorno
1323011409209-01;Camaçari;5249913432;12/04/2023 16:19;19/04/2023 07:32;6;19/04/2023 16:11;19/04/2023 23:59;19/04/2023 17:15;19/04/2023 18:12;CCI;CCI;SEI;;Standard;EWX;1674040;;BA;Em procedimento de retorno
1324501410921-01;Maceió;5262449235;13/04/2023 17:54;20/04/2023 17:08;6;21/04/2023 07:03;20/04/2023 23:59;22/04/2023 17:34;24/04/2023 14:59;DJR;DJR;SEI;;Standard;EWX;1672350;;AL;Em procedimento de retorno
1324431410841-01;São Luís;5262449291;17/04/2023 15:56;24/04/2023 14:05;6;25/04/2023 14:38;25/04/2023 23:59;25/04/2023 20:59;27/04/2023 16:53;SLD;SLD;SEI;;Standard;EWX;1661545;;MA;Em procedimento de retorno
1326061412313-01;Cuiabá;5284919701;20/04/2023 17:30;27/04/2023 14:59;6;28/04/2023 16:03;28/04/2023 23:59;28/04/2023 20:06;29/04/2023 16:28;VGR;VGR;SEI;;Standard;EWX;1701269;;MT;Em procedimento de retorno
1326831412970-01;Manaus;5293121882;25/04/2023 00:01;02/05/2023 14:45;6;04/05/2023 14:53;03/05/2023 23:59;03/05/2023 23:15;05/05/2023 11:38;FOG;FOG;SEI;;Standard;EWX;1682169;;AM;Em procedimento de retorno
LOJAFLA1678;FEIRA DE SANTANA;5298765493;25/04/2023 17:41;02/05/2023 17:34;6;03/05/2023 10:17;03/05/2023 23:59;03/05/2023 16:07;04/05/2023 14:35;FSA;FSA;SEI;;Standard;EWX;1677059;;BA;Em procedimento de retorno
1329021414717-01;Salvador;5316345166;03/05/2023 16:57;10/05/2023 17:56;6;11/05/2023 10:38;10/05/2023 23:59;11/05/2023 17:41;12/05/2023 11:29;SSA;SSA;SEI;;Standard;EWX;1701167;1682535;BA;Em procedimento de retorno
1328761414567-01;Jequié;5316345224;03/05/2023 16:50;10/05/2023 07:44;6;10/05/2023 10:13;10/05/2023 23:59;10/05/2023 17:24;13/05/2023 09:29;SSJ;SSJ;SEI;;Standard;EWX;1698802;1682160;BA;Em procedimento de retorno
1328711414495-01;Salvador;5316345279;02/05/2023 13:34;09/05/2023 09:43;6;09/05/2023 11:38;09/05/2023 23:59;09/05/2023 16:41;10/05/2023 11:49;SSA;SSA;SEI;;Standard;EWX;1701167;1678499;BA;Em procedimento de retorno
1329251414927-01;Salvador;5322573187;03/05/2023 16:58;10/05/2023 17:56;6;11/05/2023 09:54;10/05/2023 23:59;11/05/2023 17:24;12/05/2023 11:29;SSA;SSA;SEI;;Standard;EWX;1701167;1682535;BA;Em procedimento de retorno
1329411415037-01;Santana;5326908451;05/05/2023 17:35;13/05/2023 08:56;6;15/05/2023 12:11;12/05/2023 23:59;15/05/2023 19:35;18/05/2023 14:58;STN;STN;SEI;;Standard;EWX;1682509;1684811;AP;Em procedimento de retorno
1328831414628-01;Vila Velha;5326908508;05/05/2023 17:34;12/05/2023 15:15;6;15/05/2023 15:51;12/05/2023 23:59;16/05/2023 07:58;17/05/2023 11:50;PSE;PSE;SEI;;Standard;EWX;1682509;1686386;ES;Comprovante registrado
1329731415418-01;Natal;5330687116;05/05/2023 17:33;12/05/2023 13:33;6;15/05/2023 13:44;12/05/2023 23:59;15/05/2023 19:11;16/05/2023 15:22;NTA;NTA;SEI;;Standard;EWX;1697464;1684289;RN;Em procedimento de retorno
1329971415693-01;Cuiabá;5337145008;08/05/2023 15:44;15/05/2023 15:37;6;18/05/2023 08:23;15/05/2023 23:59;18/05/2023 18:36;22/05/2023 10:31;VGR;VGR;SEI;;Standard;EWX;1686528;;MT;Ciclo Operacional Encerrado
1330711416303-01;Montes Claros;5341883195;15/05/2023 16:59;22/05/2023 09:29;6;22/05/2023 15:59;22/05/2023 23:59;22/05/2023 16:31;23/05/2023 10:27;MCL;MCL;SEI;;Standard;EWX;1697231;;MG;Ciclo Operacional Encerrado
1330711416299-01;Timon;5341883208;09/05/2023 15:52;16/05/2023 09:18;6;16/05/2023 14:34;16/05/2023 23:59;16/05/2023 17:38;17/05/2023 15:33;TSI;TSI;SEI;;Standard;EWX;1691571;;MA;Em procedimento de retorno
1331011416910-01;Caçador;5346397470;15/05/2023 17:13;22/05/2023 14:04;6;;22/05/2023 23:59;;23/05/2023 10:28;CAD;CAD;SEI;;Standard;;1697529;;SC;Entrega em andamento (na rua)
1330831416374-01;Chapecó;5346559594;11/05/2023 17:20;18/05/2023 09:48;6;18/05/2023 12:41;18/05/2023 23:59;18/05/2023 18:26;19/05/2023 09:00;CHA;CHA;SEI;;Standard;EWX;1698885;1692005;SC;Em procedimento de retorno
1331091417178-01;Vila Velha;5350067770;12/05/2023 17:57;20/05/2023 13:02;6;22/05/2023 14:00;19/05/2023 23:59;22/05/2023 17:40;22/05/2023 17:40;PSE;PSE;SEI;;Standard;EWX;1691097;1694621;ES;Entrega registrada
1331201418095-01;MACEIÓ;5350227536;12/05/2023 17:52;19/05/2023 16:05;6;;19/05/2023 23:59;22/05/2023 19:59;23/05/2023 09:31;DJR;DJR;SEI;;Standard;;1695152;;AL;Entrega em andamento (na rua)
1331191418017-01;Vila Velha;5350227570;12/05/2023 17:44;20/05/2023 13:02;6;22/05/2023 19:21;19/05/2023 23:59;22/05/2023 21:22;22/05/2023 21:22;PSE;PSE;SEI;;Standard;EWX;1691097;1694621;ES;Entrega registrada
1331171417931-01;Dourados;5350227627;15/05/2023 16:57;22/05/2023 13:29;6;;22/05/2023 23:59;;22/05/2023 13:29;DOR;DOR;SEI;;Standard;;1695563;;MS;OBJETO Recebido
1331161417854-01;Dourados;5350228255;12/05/2023 17:55;19/05/2023 16:10;6;22/05/2023 14:18;19/05/2023 23:59;22/05/2023 02:41;22/05/2023 15:21;DOR;DOR;SEI;;Standard;EWX;1694005;;MS;Entrega registrada via RT
1331161417801-01;Vitória;5350228266;12/05/2023 17:51;20/05/2023 18:19;6;22/05/2023 15:24;19/05/2023 23:59;22/05/2023 16:45;22/05/2023 17:21;VTA;VTA;SEI;;Standard;EWX;1691097;1694520;ES;Ciclo Operacional Encerrado
1331121417495-01;Gurupi;5350228404;15/05/2023 17:02;22/05/2023 09:26;6;22/05/2023 18:22;22/05/2023 23:59;22/05/2023 18:53;22/05/2023 18:53;GUR;GUR;SEI;;Standard;EWX;1695536;;TO;Entrega registrada
1331111417460-01;Itajubá;5350228426;15/05/2023 16:56;22/05/2023 09:26;6;22/05/2023 18:40;22/05/2023 23:59;22/05/2023 21:36;22/05/2023 21:36;IAJ;IAJ;SEI;;Standard;EWX;1697302;;MG;Entrega registrada
1331111417415-01;Dourados;5350228460;12/05/2023 17:45;19/05/2023 16:10;6;;19/05/2023 23:59;22/05/2023 02:34;23/05/2023 06:11;DOR;DOR;SEI;;Standard;;1694005;;MS;Programado Nova Tentativa
1331081417118-01;Governador Valadares;5353677396;15/05/2023 17:02;22/05/2023 15:03;6;;22/05/2023 23:59;;23/05/2023 08:57;GVR;GVR;SEI;;Standard;;1697211;;MG;Entrega em andamento (na rua)
1331591419121-01;São Lourenço;5356972350;15/05/2023 17:24;22/05/2023 00:11;6;22/05/2023 14:45;22/05/2023 23:59;22/05/2023 22:03;22/05/2023 22:34;SLN;SLN;SEI;;Standard;EWX;1697307;;MG;Ciclo Operacional Encerrado
1331571419061-01;Salvador;5356972430;15/05/2023 17:18;22/05/2023 14:59;6;;22/05/2023 23:59;;23/05/2023 08:42;SSA;SSA;SEI;;Standard;;1701532;1695118;BA;Entrega em andamento (na rua)
1331681419545-01;Juiz de Fora;5356989720;15/05/2023 17:23;22/05/2023 06:54;6;22/05/2023 09:58;22/05/2023 23:59;22/05/2023 18:32;22/05/2023 18:32;JDF;JDF;SEI;;Standard;EWX;1697465;;MG;Entrega registrada
1331621419251-01;Itajubá;5356989924;15/05/2023 17:08;22/05/2023 09:26;6;22/05/2023 18:37;22/05/2023 23:59;22/05/2023 21:36;22/05/2023 21:36;IAJ;IAJ;SEI;;Standard;EWX;1697302;;MG;Entrega registrada
1318351405132-01;Aparecida de Goiânia;5185475546;20/03/2023 16:47;24/03/2023 07:08;5;24/03/2023 14:00;27/03/2023 23:59;24/03/2023 17:42;27/03/2023 17:50;WAR;WAR;SEI;;Standard;EWX;1635049;;GO;Em procedimento de retorno
1318231405079-01;Manaus;5185475604;21/03/2023 16:52;27/03/2023 19:13;5;28/03/2023 14:19;28/03/2023 23:59;28/03/2023 19:00;29/03/2023 11:33;FOG;FOG;SEI;;Standard;EWX;1640101;;AM;Em procedimento de retorno
1319001405637-01;Manaus;5189581707;21/03/2023 16:53;27/03/2023 19:15;5;28/03/2023 15:14;28/03/2023 23:59;28/03/2023 18:40;29/03/2023 11:42;FOG;MUS;SEI;;Standard;EWX;1636826;;AM;Em procedimento de retorno
1319371405979-01;São Luís;5197878306;23/03/2023 15:51;29/03/2023 13:45;5;30/03/2023 10:16;30/03/2023 23:59;31/03/2023 08:19;31/03/2023 19:07;SLD;SLD;SEI;;Standard;EWX;1672766;;MA;Em procedimento de retorno
1319361405941-01;Mossoró;5197878317;23/03/2023 15:50;29/03/2023 14:53;5;29/03/2023 15:00;30/03/2023 23:59;29/03/2023 19:24;31/03/2023 23:09;MSR;MSR;SEI;;Standard;EWX;1635316;;RN;Em procedimento de retorno
1320631406879-01;BRASILIA;5212176636;28/03/2023 17:42;03/04/2023 09:23;5;04/04/2023 12:25;04/04/2023 23:59;04/04/2023 20:47;06/04/2023 13:24;SOL;SOL;SEI;;Standard;EWX;1651367;;DF;Em procedimento de retorno
1322541408649-01;Guarapuava;5238542165;05/04/2023 15:41;11/04/2023 06:43;5;11/04/2023 09:44;13/04/2023 23:59;11/04/2023 17:46;15/04/2023 14:41;GPV;GPV;SEI;;Standard;EWX;1672905;;PR;Em procedimento de retorno
1322981409150-01;Santa Maria;5249913465;13/04/2023 17:55;19/04/2023 07:54;5;19/04/2023 10:34;20/04/2023 23:59;19/04/2023 22:05;20/04/2023 14:26;SMA;SMA;SEI;;Standard;EWX;1674563;;RS;Em procedimento de retorno
1323701410053-01;Vitória da Conquista;5249913852;12/04/2023 16:18;18/04/2023 14:44;5;19/04/2023 09:40;19/04/2023 23:59;19/04/2023 17:06;29/04/2023 13:46;VIC;VIC;SEI;;Standard;EWX;1659117;;BA;Em procedimento de retorno
1323531409940-01;Barreiras;5249913921;12/04/2023 16:20;18/04/2023 15:08;5;19/04/2023 10:40;19/04/2023 23:59;19/04/2023 17:32;24/04/2023 15:15;BRS;BRS;SEI;;Standard;EWX;1678459;;BA;Em procedimento de retorno
5285917494;Paço do Lumiar;5249913998;12/04/2023 16:21;18/04/2023 15:19;5;;19/04/2023 23:59;20/04/2023 07:26;20/04/2023 15:17;SLD;SLD;SEI;Desconhecido (Destinatário / Interlocutor);Standard;DWR;1655652;;MA;Ciclo Operacional Encerrado
1323301409617-01;Manaus;5249914048;10/04/2023 17:02;14/04/2023 16:40;5;15/04/2023 13:50;17/04/2023 23:59;15/04/2023 19:16;17/04/2023 11:48;FOG;FOG;SEI;;Standard;EWX;1659270;;AM;Em procedimento de retorno
5292446828;Cachoeiro de Itapemirim;5249914060;12/04/2023 16:23;18/04/2023 14:52;5;;19/04/2023 23:59;19/04/2023 14:50;24/04/2023 10:46;CDI;CDI;SEI;Destinatário Ausente;Standard;DWR;1659330;;ES;Ciclo Operacional Encerrado
1324241410637-01;Eunápolis;5258820591;12/04/2023 16:11;18/04/2023 19:14;5;20/04/2023 09:47;19/04/2023 23:59;20/04/2023 18:31;30/04/2023 16:21;EUN;EUN;SEI;;Standard;EWX;1659107;;BA;Em procedimento de retorno
1324231410591-01;Quirinópolis;5258820604;12/04/2023 16:09;18/04/2023 17:07;5;19/04/2023 14:12;19/04/2023 23:59;19/04/2023 18:50;24/04/2023 17:00;QPO;QPO;SEI;;Standard;EWX;1672421;;GO;Em procedimento de retorno
5293706287;São Luís;5258820706;12/04/2023 16:15;18/04/2023 15:19;5;;19/04/2023 23:59;19/04/2023 19:42;24/04/2023 14:47;SLD;SLD;SEI;Desconhecido (Destinatário / Interlocutor);Standard;DWR;1655652;;MA;Ciclo Operacional Encerrado
1324691411074-01;Aracaju;5266323158;14/04/2023 17:46;20/04/2023 14:29;5;22/04/2023 11:11;24/04/2023 23:59;22/04/2023 20:49;25/04/2023 16:50;MAJ;MAJ;SEI;;Standard;EWX;1670933;;SE;Em procedimento de retorno
1325431411741-01;Alfenas;5272155477;17/04/2023 15:56;22/04/2023 15:35;5;24/04/2023 09:56;25/04/2023 23:59;24/04/2023 11:12;26/04/2023 18:58;AFS;AFS;SEI;;Standard;EWX;1684546;;MG;Em procedimento de retorno
1325321411535-01;Alfenas;5272155693;17/04/2023 15:59;22/04/2023 15:16;5;25/04/2023 13:42;25/04/2023 23:59;24/04/2023 11:12;26/04/2023 18:58;AFS;AFS;SEI;;Standard;EWX;1684546;;MG;Em procedimento de retorno
1324961411323-01;Natal;5272172114;17/04/2023 15:59;23/04/2023 22:49;5;24/04/2023 17:36;25/04/2023 23:59;24/04/2023 18:17;25/04/2023 14:33;NTL;NTL;SEI;;Standard;EWX;1673924;;RN;Em procedimento de retorno
